market,front_run_multiplier,avg_attacker_profit,total_attacker_profit,profitable_rate,avg_ev_lost,total_ev_lost
NBA Finals Thunder vs Pacers,0.1,0.20734059367066218,38.77269101641383,0.10695187165775401,0.1702638447529289,31.839338968797705
NBA Finals Thunder vs Pacers,0.25,0.3979469875574343,74.41608667324022,0.10160427807486631,0.34115682696031613,63.796326641579114
NBA Finals Thunder vs Pacers,0.5,0.541900591347537,101.33541058198941,0.11229946524064172,0.5044677371668694,94.33546685020458
NBA Finals Thunder vs Pacers,1.0,0.5564906938322353,104.063759746628,0.11229946524064172,0.6382861209458297,119.35950461687015
NBA Finals Thunder vs Pacers,2.0,0.42610666344717374,79.68194606462148,0.11764705882352941,0.7025656679887471,131.3797799138957
NBA Finals Thunder vs Pacers,5.0,0.46357224301795485,86.68800944435756,0.11764705882352941,0.7766290497611663,145.2296323053381
NBA Finals Thunder vs Pacers,10.0,0.4824451729015066,90.21724733258174,0.16042780748663102,0.8240116079025412,154.0901706777752
NFL SEA vs NE,0.1,76.18227324729733,3199.655476386488,0.23809523809523808,0.24304354641467685,10.207828949416427
NFL SEA vs NE,0.25,80.86612991019803,3396.377456228317,0.23809523809523808,0.527308881077072,22.146973005237022
NFL SEA vs NE,0.5,82.04566121583022,3445.917771064869,0.21428571428571427,0.7226780501065815,30.352478104476422
NFL SEA vs NE,1.0,82.2169985713538,3453.1139399968597,0.19047619047619047,0.7975891923450933,33.498746078493916
NFL SEA vs NE,2.0,82.2270525133197,3453.536205559428,0.21428571428571427,0.806318480404013,33.865376176968546
NFL SEA vs NE,5.0,82.22716984774,3453.54113360508,0.2857142857142857,0.8064285986133842,33.87000114176214
NFL SEA vs NE,10.0,82.22716984797097,3453.541133614781,0.2619047619047619,0.8064285988305777,33.87000115088426
World Series Winner,0.1,1.011844093767545,25.296102344188625,1.0,0.8518095272376444,21.29523818094111
World Series Winner,0.25,2.0624897083301583,51.56224270825396,1.0,1.7385351059687528,43.46337764921882
World Series Winner,0.5,3.0919476984337235,77.29869246084309,1.0,2.611719514413822,65.29298786034555
World Series Winner,1.0,3.989432072274185,99.73580180685462,1.0,3.3828779004773923,84.57194751193481
World Series Winner,2.0,4.593067228005589,114.82668070013972,1.0,3.91808868853098,97.9522172132745
World Series Winner,5.0,5.267863955651483,131.69659889128707,1.0,4.5288859810538495,113.22214952634624
World Series Winner,10.0,5.659373333513713,141.48433333784283,1.0,4.88298901425597,122.07472535639926
