market,min_victim_size_usd,attacks_simulated,total_attacker_profit,avg_attacker_profit,profitable_rate,total_ev_lost
NBA Finals Thunder vs Pacers,0,319,72.30859996787774,0.22667272717203052,0.19435736677115986,128.58456310927232
NBA Finals Thunder vs Pacers,10,264,71.00943294011188,0.26897512477315105,0.125,127.44786797614046
NBA Finals Thunder vs Pacers,25,219,69.17191435034275,0.31585349018421344,0.1232876712328767,125.76667405631375
NBA Finals Thunder vs Pacers,50,187,104.063759746628,0.5564906938322353,0.11229946524064172,119.35950461687015
NBA Finals Thunder vs Pacers,100,158,173.4152196032702,1.0975646810333557,0.12658227848101267,122.19891320783779
NBA Finals Thunder vs Pacers,250,101,170.78351648673436,1.690925905809251,0.09900990099009901,119.59373192489751
NBA Finals Thunder vs Pacers,500,81,170.78351293455728,2.1084384312908306,0.12345679012345678,119.59372837269504
NBA Finals Thunder vs Pacers,1000,60,170.78329990086024,2.846388331681004,0.08333333333333333,119.59351533907349
NFL SEA vs NE,0,45,3453.117508347455,76.73594462994345,0.2,33.502285523060294
NFL SEA vs NE,10,43,3453.1139399968597,80.30497534876417,0.18604651162790697,33.498746078493916
NFL SEA vs NE,25,43,3453.1139399968597,80.30497534876417,0.18604651162790697,33.498746078493916
NFL SEA vs NE,50,42,3453.1139399968597,82.2169985713538,0.19047619047619047,33.498746078493916
NFL SEA vs NE,100,42,3453.1139399968597,82.2169985713538,0.19047619047619047,33.498746078493916
NFL SEA vs NE,250,42,3453.1139399968597,82.2169985713538,0.19047619047619047,33.498746078493916
NFL SEA vs NE,500,42,3453.1139399968597,82.2169985713538,0.19047619047619047,33.498746078493916
NFL SEA vs NE,1000,42,3453.1139399968597,82.2169985713538,0.19047619047619047,33.498746078493916
World Series Winner,0,60,101.83401161380198,1.6972335268966996,1.0,86.51315855199113
World Series Winner,10,48,101.8317422845272,2.12149463092765,1.0,86.51100819252981
World Series Winner,25,36,101.24979228043878,2.8124942300121885,1.0,85.96669607884667
World Series Winner,50,25,99.73580180685462,3.989432072274185,1.0,84.57194751193481
World Series Winner,100,21,97.82900997827494,4.658524284679759,1.0,82.81644558167214
World Series Winner,250,11,86.90650519212204,7.900591381102004,1.0,73.04657204408389
World Series Winner,500,4,84.55435143677005,21.138587859192512,1.0,70.70352615691421
World Series Winner,1000,3,84.32981839234162,28.109939464113875,1.0,70.47913388199143
